date,return,VaR_normal,VaR_t,exceed_normal,exceed_t
2024-05-10,0.0023553582265334,-0.03315271807460312,-0.06540680568031627,0,0
2024-05-13,0.0023047481073321,-0.03280592780485559,-0.06480974828750195,0,0
2024-05-14,0.0064116519318249,-0.03280538907393205,-0.06479024311246694,0,0
2024-05-15,0.0155094165209277,-0.03258462024686456,-0.06442830286320697,0,0
2024-05-16,-0.002033477845277,-0.0325817484444744,-0.06445645913324366,0,0
2024-05-17,-0.0004867404859831,-0.03245641352563707,-0.06413925705421761,0,0
2024-05-20,0.0069483710203659,-0.03240931964090455,-0.06406843721750217,0,0
2024-05-21,0.0019545669737563,-0.03235338431410582,-0.06392408723162406,0,0
2024-05-22,-0.0001975741466537,-0.031822696996139536,-0.06298701745832745,0,0
2024-05-23,-0.0045085442828156,-0.031806134550719435,-0.06296446374037909,0,0
2024-05-24,0.0094119660404787,-0.031811072699782415,-0.06297146635478897,0,0
2024-05-28,0.0037706635857208,-0.03179716526923713,-0.06293095145832345,0,0
2024-05-29,-0.0070733458397063,-0.031665693519078816,-0.06272204742537167,0,0
2024-05-30,-0.010771135545375,-0.031690238547209905,-0.06273034879755127,0,0
2024-05-31,-0.0018620895096361,-0.03167289368849689,-0.06262453566278088,0,0
2024-06-03,0.0053550640539459,-0.031579254707178976,-0.06237758960205597,0,0
2024-06-04,0.0027326855749612,-0.03156486020559251,-0.06236462406925383,0,0
2024-06-05,0.0199592891891118,-0.031534097277336186,-0.062323760156748405,0,0
2024-06-06,-0.0003452929336837,-0.031494913038812994,-0.06223394828653345,0,0
2024-06-07,-0.0008852247879813,-0.0313203849767541,-0.06194243319520673,0,0
2024-06-10,0.0040312145416026,-0.031328214374903414,-0.06194976216032479,0,0
2024-06-11,0.0068392722558865,-0.03132893130238622,-0.0619425545164507,0,0
2024-06-12,0.0130125911315213,-0.03129615545644415,-0.06190513758770932,0,0
2024-06-13,0.0054056909537552,-0.031109411854639998,-0.06161649163131644,0,0
2024-06-14,0.0051678004543518,-0.03080196479610407,-0.06109442325183788,0,0
2024-06-17,0.0121754164314875,-0.03029766004033157,-0.060209771959537604,0,0
2024-06-18,0.0003091156895935,-0.03029783181704519,-0.06022967611271841,0,0
2024-06-20,-0.0077377199515717,-0.030251504904622455,-0.06009325331629921,0,0
2024-06-21,-0.0026829423553706,-0.029890588666837914,-0.05945196076348769,0,0
2024-06-24,-0.0114499338009697,-0.02990175688785217,-0.059445866164672304,0,0
2024-06-25,0.0113706526280052,-0.029902965329362288,-0.059379543205055584,0,0
2024-06-26,0.002063044218679,-0.02989475891763318,-0.059387756229173416,0,0
2024-06-27,0.0025779860700607,-0.029887599162722496,-0.05934975875253559,0,0
2024-06-28,-0.0052045114490049,-0.02976420935198335,-0.05905016116671536,0,0
